feature,score,min,max,n_null,n_gt1w
x177,860,-1.0,50.0,92,0,numeric
x38,860,-1.0,45.48,19,0,numeric
x271,859,-1,37681,19,43,numeric
x746,859,-1,14448,19,2,numeric
x417,856,1,2,0,0,category
x353,854,0.0,3676.0,0,0,numeric
x40,854,-1.0,16.77,19,0,numeric
x268,853,-1,1382,19,0,numeric
x233,852,-1.0,100.0,92,0,numeric
x471,849,-1,355,20,0,numeric
x737,849,-1,101,19,0,numeric
x1129,846,1,8,0,0,category
x633,846,-1,71336,19,415,numeric
x295,846,-1,1320,19,0,numeric
x47,846,-1.0,53.4,92,0,numeric
x551,841,-1,363,2307,0,numeric
x184,841,-1.0,100.0,131,0,numeric
x87,841,-1.0,85.71,131,0,numeric
x957,840,-1,61,4421,0,numeric
x284,839,-1,49393,19,25,numeric
x557,838,-1,235196,19,4440,numeric
x361,837,0.0,708502.0,0,9700,numeric
x18,835,-1.0,40.86,92,0,numeric
x187,835,-1.0,13.39,19,0,numeric
x792,834,-1,14775,19,10,numeric
x424,831,-1,61,19,0,numeric
x154,829,-1.0,100.0,92,0,numeric
x41,829,-1.0,34.24,19,0,numeric
x126,828,-1.0,100.0,131,0,numeric
x22,828,-1.0,50.0,131,0,numeric
x19,826,-1.0,100.0,131,0,numeric
x5,826,-1.0,20.09,19,0,numeric
x213,824,-1.0,100.0,131,0,numeric
x160,822,-1.0,85.71,131,0,numeric
x730,820,-1,420,4139,0,numeric
x409,819,-1.0,1824.0,19,0,numeric
x949,818,-1.0,7913.44,285,0,numeric
x228,816,-1.0,28.0,19,0,numeric
x124,813,-1.0,100.0,131,0,numeric
x214,809,-1.0,100.0,131,0,numeric
x400,804,-1,693,19,0,numeric
x109,804,-1.0,41.13,19,0,numeric
x207,803,-1.0,55.56,92,0,numeric
x196,802,-1.0,27.23,19,0,numeric
x686,801,-1,26436,19,33,numeric
x217,800,-1.0,100.0,131,0,numeric
x432,799,-1.0,2589.06,52,0,numeric
x104,794,-1.0,100.0,130,0,numeric
x62,793,-1.0,100.0,83,0,numeric
x176,790,-1.0,100.0,92,0,numeric
x1005,790,-1,73,19,0,numeric
x953,788,-34.74,9987.8,144,0,numeric
x503,786,-1,284,83,0,numeric
x546,784,-1,351,3900,0,numeric
x220,782,-1.0,30.61,19,0,numeric
x781,781,-1,10295,19,1,numeric
x288,780,-1,428,7817,0,numeric
x238,777,-1.0,100.0,131,0,numeric
x100,776,-1.0,76.32,130,0,numeric
x15,774,-1.0,68.0,92,0,numeric
x147,772,-1.0,20.32,19,0,numeric
x434,770,-1.0,151.31,52,0,numeric
x181,768,-1.0,40.0,92,0,numeric
x653,766,-1,20516,19,12,numeric
x389,765,-1,185,19,0,numeric
x479,762,-1,754,20,0,numeric
x232,762,-1.0,68.0,92,0,numeric
x1029,759,-1,87,19,0,numeric
x575,758,-1,11972,19,2,numeric
x749,757,-1,15950,19,1,numeric
x146,756,-1.0,21.95,19,0,numeric
x296,753,-1.0,525.7,19,0,numeric
x469,747,0.0,1.2,0,0,numeric
x556,747,-1,184,19,0,numeric
x215,744,-1.0,50.0,131,0,numeric
x568,742,-1,4460,19,0,numeric
x713,740,-1,107453,19,6,numeric
x63,739,-1.0,100.0,130,0,numeric
x73,739,-1.0,13.73,19,0,numeric
x564,736,-1,62,83,0,numeric
x64,734,-1.0,100.0,130,0,numeric
x512,732,-1,134047,19,3,numeric
x348,729,0.0,100.0,0,0,numeric
x167,729,-1.0,26.7,19,0,numeric
x323,728,-1.0,32.0,19,0,numeric
x550,722,-1,371,6115,0,numeric
x385,722,-1,208,19,0,numeric
x206,722,-1.0,100.0,92,0,numeric
x203,722,-1.0,16.51,19,0,numeric
x382,721,-1,123,19,0,numeric
x365,720,-1,6144,92,0,numeric
x127,720,-1.0,50.0,131,0,numeric
x805,718,-1,21848,19,9,numeric
x297,717,-1.0,852.0,19,0,numeric
x78,717,-1.0,14.2,19,0,numeric
x186,716,-1.0,34.85,19,0,numeric
x610,714,-1,5959,19,0,numeric
x629,713,-1,175117,19,180,numeric
x80,708,-1.0,100.0,92,0,numeric
x56,708,-1.0,19.35,131,0,numeric
x156,705,-1.0,100.0,92,0,numeric
x752,704,-1,8231,19,0,numeric
x1001,704,-1,99,19,0,numeric
x614,702,-1,17022,19,4,numeric
x581,700,-1,11610,19,1,numeric
x106,700,-1.0,34.8,19,0,numeric
x86,699,-1.0,100.0,92,0,numeric
x1011,697,-1,89,19,0,numeric
x850,696,-1,11341,19,2,numeric
x48,696,-1.0,72.45,92,0,numeric
x1,696,-1.0,34.18,19,0,numeric
x534,691,-1,162,19,0,numeric
x476,688,-1,2327,20,0,numeric
x993,685,-1,357,19,0,numeric
x103,684,-1.0,100.0,130,0,numeric
x166,684,-1.0,25.0,131,0,numeric
x81,681,-1.0,100.0,92,0,numeric
x150,681,-1.0,40.0,19,0,numeric
x157,678,-1.0,40.0,92,0,numeric
x1022,672,-1,209,19,0,numeric
x61,671,-1.0,34.15,83,0,numeric
x994,670,-1,1138,19,0,numeric
x914,670,-1.0,198.76,4951,0,numeric
x372,669,-1,255,19,0,numeric
x647,668,-1,395,10188,0,numeric
x961,668,-1,10,4421,0,numeric
x384,666,-1,153,19,0,numeric
x379,665,-1,940,19,0,numeric
x992,664,-1,616,19,0,numeric
x354,663,0.0,379328.0,0,2026,numeric
x843,663,-1,12007,19,2,numeric
x34,662,-1.0,34.47,19,0,numeric
x403,660,-1,838,19,0,numeric
x764,659,-1,18720,19,4,numeric
x255,659,-1,1750,19,0,numeric
x678,658,-1,13856,19,1,numeric
x499,658,-1,344,19,0,numeric
x299,655,-1,1443,19,0,numeric
x117,653,-1.0,68.76,92,0,numeric
x761,650,-1,13894,19,1,numeric
x393,650,-1,2322,19,0,numeric
x804,649,-1,49129,19,13,numeric
x1138,646,1,33,0,0,category
x836,645,-1,677179,19,54,numeric
x529,644,-1,33028,19,13,numeric
x997,644,-1,461,19,0,numeric
x54,643,-1.0,100.0,131,0,numeric
x116,639,-1.0,20.38,19,0,numeric
x733,635,-1,196,19,0,numeric
x259,634,-1,18966,19,4,numeric
x977,633,-1,1776,19,0,numeric
x408,633,-1,678,19,0,numeric
x809,632,-1,2309,19,0,numeric
x373,632,-1,1211,19,0,numeric
x483,632,-1,585,20,0,numeric
x648,628,-1,398,6585,0,numeric
x396,625,-1,295,19,0,numeric
x525,624,-1,29963,19,7,numeric
x481,624,-1,4369,20,0,numeric
x169,624,-1.0,29.61,19,0,numeric
x282,620,-1,8902,19,0,numeric
x1077,620,-1,275,4951,0,numeric
x202,619,-1.0,10.8,19,0,numeric
x506,618,-1,1075,19,0,numeric
x731,618,-1,357,6130,0,numeric
x1117,617,1,35,0,0,category
x36,617,-1.0,22.65,19,0,numeric
x49,616,-1.0,28.57,92,0,numeric
x151,612,-1.0,26.09,19,0,numeric
x856,611,-1,323,19,0,numeric
x699,610,-1,7309,19,0,numeric
x460,609,0,215,0,0,numeric
x978,609,-1,1221,19,0,numeric
x413,609,-1,54,19,0,numeric
x839,609,-1,50,19,0,numeric
x782,606,-1,5309,19,0,numeric
x548,601,-1,260,47,0,numeric
x1114,600,1,36,0,0,category
x71,600,-1.0,26.65,19,0,numeric
x478,594,-1,4369,20,0,numeric
x996,594,-1,874,19,0,numeric
x33,594,-1.0,100.0,130,0,numeric
x347,593,0.0,1597488.0,0,13231,numeric
x748,592,-1,83075,19,72,numeric
x17,592,-1.0,100.0,92,0,numeric
x430,589,-1.0,456.0,52,0,numeric
x982,589,-1,172,19,0,numeric
x513,588,-1,146502,19,7,numeric
x835,583,-1,9415,19,0,numeric
x399,583,-1,122,19,0,numeric
x23,583,-1.0,44.79,131,0,numeric
x401,581,-1,505,19,0,numeric
x306,579,-1.0,620.0,19,0,numeric
x700,579,-1,103,19,0,numeric
x77,578,-1.0,19.18,19,0,numeric
x292,575,-1,1443,19,0,numeric
x652,575,-1,118,19,0,numeric
x253,572,-1,15475,19,1,numeric
x75,569,-1.0,19.98,19,0,numeric
x909,568,-1,82,4951,0,numeric
x197,568,-1.0,14.77,19,0,numeric
x188,566,-1.0,21.39,19,0,numeric
x174,565,-1.0,18.45,19,0,numeric
x555,563,-1,1361,19,0,numeric
x875,562,-1,653,19,0,numeric
x729,561,-1,369,9554,0,numeric
x485,557,-1,5555,20,0,numeric
x473,552,-1,617,20,0,numeric
x933,549,-1,71,4951,0,numeric
x475,548,-1,1521,20,0,numeric
x350,547,0.0,1060.0,0,0,numeric
x980,547,-1,114,19,0,numeric
x418,546,-1,17,19,0,numeric
x304,541,-1,2921,19,0,numeric
x674,539,-1,5210,19,0,numeric
x225,537,-1.0,15.79,19,0,numeric
x707,536,-1,8617,19,0,numeric
x643,535,-1,3523,19,0,numeric
x963,535,-1,17,4421,0,numeric
x1004,534,-1,296,19,0,numeric
x1108,528,1,36,0,0,category
x976,527,-1,2578,19,0,numeric
x520,526,-1,27607,19,1,numeric
x582,523,-1,1148,19,0,numeric
x796,518,-1,25078,19,4,numeric
x12,516,-1.0,18.6,19,0,numeric
x277,514,-1,22804,19,4,numeric
x1017,510,-1,31,19,0,numeric
x966,506,-1.0,22414532.0,12142,1844,numeric
x649,502,-1,373,13242,0,numeric
x1003,502,-1,222,19,0,numeric
x562,501,-1,16085,19,2,numeric
x431,501,-1.0,5082.35,52,0,numeric
x945,500,-1.0,5173.04,285,0,numeric
x517,493,-1,3523,19,0,numeric
x802,492,-1,4704,19,0,numeric
x704,491,-1,1070,19,0,numeric
x1137,490,1,8,0,0,category
x344,487,-1.0,1325.94,34,0,numeric
x553,487,-1,582,6510,0,numeric
x329,485,-24.9121,51.79815,4281,0,numeric
x470,484,0,398,0,0,numeric
x341,483,-1,3520,19,0,numeric
x765,483,-1,168,19,0,numeric
x1023,480,-1,487,19,0,numeric
x387,478,-1,96,19,0,numeric
x803,477,-1,249,19,0,numeric
x828,477,-1,121,19,0,numeric
x274,476,-1,356,12095,0,numeric
x954,476,-1,18,4421,0,numeric
x349,474,0.0,92.17,0,0,numeric
x576,472,-1,273,19,0,numeric
x866,472,-1,124,19,0,numeric
x294,470,-1,1325,19,0,numeric
x890,469,-1,79,4951,0,numeric
x69,462,-1.0,66.67,130,0,numeric
x545,461,-1,1321,19,0,numeric
x405,459,-1,658,19,0,numeric
x446,459,-1,16,13651,0,numeric
x590,457,-1,544,19,0,numeric
x821,455,-1,121,19,0,numeric
x374,454,-1,1160,19,0,numeric
x527,454,-1,304,19,0,numeric
x421,454,-1,245,19,0,numeric
x837,450,-1,146502,19,4,numeric
x338,450,-1,3538,19,0,numeric
x360,447,0.0,11278.0,0,1,numeric
x355,446,0.03,18676.0,0,7,numeric
x593,446,-1,24,44,0,numeric
x964,442,-1,19,4421,0,numeric
x266,439,-1,876,19,0,numeric
x960,439,-1.0,292.26,4421,0,numeric
x522,436,-1,38435,19,7,numeric
x1087,436,-1,9995,4951,0,numeric
x684,434,-1,122,19,0,numeric
x573,432,-1,134047,19,1,numeric
x818,432,-1,385,13010,0,numeric
x45,431,-1.0,33.5,19,0,numeric
x677,428,-1,16777,19,2,numeric
x497,427,-1,433,83,0,numeric
x108,427,-1.0,19.55,19,0,numeric
x611,426,-1,150503,19,4,numeric
x533,421,-1,690,19,0,numeric
x988,420,-1,545,19,0,numeric
x979,419,-1,1216,19,0,numeric
x1055,419,-1,866,4951,0,numeric
x1109,418,1,33,0,0,category
x198,418,-1.0,23.6,19,0,numeric
x170,417,-1.0,19.9,19,0,numeric
x676,416,-1,11071,19,1,numeric
x1115,412,1,36,0,0,category
x285,412,-1,497,19,0,numeric
x325,411,-1,63,19,0,numeric
x585,409,-1,1016,19,0,numeric
x626,407,-1,1859,19,0,numeric
x307,407,-1,1691,19,0,numeric
x386,407,-1,144,19,0,numeric
x574,406,-1,150503,19,2,numeric
x631,405,-1,358,19,0,numeric
x863,398,-1,116,19,0,numeric
x1025,397,-1,81,19,0,numeric
x1009,397,-1,54,19,0,numeric
x221,396,-1.0,10.25,19,0,numeric
x410,394,-1.0,2306.0,19,0,numeric
x334,393,-1,5,19,0,numeric
x602,392,-1,1050,19,0,numeric
x847,392,-1,628,19,0,numeric
x697,391,-1,98,19,0,numeric
x388,387,-1,265,19,0,numeric
x339,385,-1,2210,19,0,numeric
x623,383,-1,14591,19,1,numeric
x624,381,-1,18540,19,1,numeric
x827,379,-1,154,19,0,numeric
x461,378,0,50,0,0,numeric
x429,377,-1,1481,52,0,numeric
x1057,377,-1,1126,4951,0,numeric
x605,375,-1,431,19,0,numeric
x340,371,-1,5913,19,0,numeric
x806,371,-1,106,19,0,numeric
x335,369,-1,5,19,0,numeric
x579,368,-1,465,19,0,numeric
x371,368,-1,250,19,0,numeric
x985,367,-1,175,19,0,numeric
x732,366,-1,147,19,0,numeric
x1035,366,-1,1,3642,0,category
x1130,365,1,8,0,0,category
x967,362,-1,22414532,12142,1881,numeric
x32,359,-1.0,100.0,130,0,numeric
x1015,358,-1,825,19,0,numeric
x394,357,-1,72,19,0,numeric
x283,356,-1,351,19,0,numeric
x968,355,-1,22414532,12142,1209,numeric
x851,355,-1,117,19,0,numeric
x703,354,-1,2692,19,0,numeric
x655,353,-1,136,19,0,numeric
x646,344,-1,237,13169,0,numeric
x459,343,0,925,0,0,numeric
x1110,341,1,33,0,0,category
x657,339,-1,368,19,0,numeric
x535,339,-1,119,19,0,numeric
x1102,338,-1,2449,4951,0,numeric
x244,338,-1,194,19,0,numeric
x1116,337,1,36,0,0,category
x480,335,-1,562,21,0,numeric
x920,334,-1,370,4951,0,numeric
x800,333,-1,706,19,0,numeric
x1072,332,-1,9409,4951,0,numeric
x1021,332,-1,101,19,0,numeric
x762,331,-1,646,19,0,numeric
x493,328,-1,346,83,0,numeric
x1135,326,1,36,0,0,category
x990,325,-1,292,19,0,numeric
x370,324,-1,10536,19,1,numeric
x523,324,-1,5784,19,0,numeric
x484,324,-1,2990,20,0,numeric
x987,324,-1,156,19,0,numeric
x381,323,-1,14637,19,9,numeric
x621,319,-1,1321,19,0,numeric
x415,318,1,4,0,0,category
x1074,318,-1,12359,4951,1,numeric
x256,318,-1,375,19,0,numeric
x1105,317,-1,446,4951,0,numeric
x1090,314,-1,2303,4951,0,numeric
x1059,313,-1,930,4951,0,numeric
x1083,312,-1,2705,4951,0,numeric
x1064,311,-1,362,4951,0,numeric
x736,308,-1,121,19,0,numeric
x369,307,-1,7672,19,0,numeric
x1020,305,-1,239,19,0,numeric
x972,304,-1.0,22785057.0,13588,1335,numeric
x845,304,-1,5075,19,0,numeric
x948,302,-1.0,843.0,286,0,numeric
x1103,302,-1,559,4951,0,numeric
x380,302,-1,16,19,0,numeric
x343,301,-1.0,999.46,170,0,numeric
x526,299,-1,240,19,0,numeric
x869,298,-1,39,19,0,numeric
x1016,298,-1,36,19,0,numeric
x974,297,-1,22785057,13588,862,numeric
